 ***** DATA CARD NO.  5   RP   0   181 1  1003 0 0  1.0  0.0                                                 - - - RADIATION PATTERNS - - -

  - - ANGLES - -           - POWER GAINS -       - - - POLARIZATION - - -    - - - E(THETA) - - -    - - - E(PHI) - - -
  THETA     PHI        VERT.   HOR.    TOTAL      AXIAL     TILT   SENSE     MAGNITUDE    PHASE      MAGNITUDE    PHASE 
 DEGREES  DEGREES       DB      DB      DB        RATIO     DEG.              VOLTS/M    DEGREES      VOLTS/M    DEGREES
  168.00     0.00     -95.62 -999.00  -95.62    0.00000     0.00 LHCP       1.65656e-05    88.69    0.00000e+00     0.00
  169.00     0.00     -96.36 -999.00  -96.36    0.00000     0.00 LHCP       1.51992e-05    88.68    0.00000e+00     0.00
  170.00     0.00     -97.18 -999.00  -97.18    0.00000     0.00 LHCP       1.38290e-05    88.67    0.00000e+00     0.00
  171.00     0.00     -98.09 -999.00  -98.09    0.00000     0.00 LHCP       1.24556e-05    88.67    0.00000e+00     0.00
  172.00     0.00     -99.11 -999.00  -99.11    0.00000     0.00 LHCP       1.10791e-05    88.67    0.00000e+00     0.00
  173.00     0.00    -100.26 -999.00 -100.26    0.00000     0.00 LHCP       9.70000e-06    88.66    0.00000e+00     0.00
  174.00     0.00    -101.60 -999.00 -101.60    0.00000     0.00 LHCP       8.31857e-06    88.66    0.00000e+00     0.00
  175.00     0.00    -103.18 -999.00 -103.18    0.00000     0.00 LHCP       6.93516e-06    88.66    0.00000e+00     0.00
  176.00     0.00    -105.11 -999.00 -105.11    0.00000     0.00 LHCP       5.55010e-06    88.65    0.00000e+00     0.00
  177.00     0.00    -107.61 -999.00 -107.61    0.00000     0.00 LHCP       4.16372e-06    88.65    0.00000e+00     0.00
  178.00     0.00    -111.13 -999.00 -111.13    0.00000     0.00 LHCP       2.77636e-06    88.65    0.00000e+00     0.00
  179.00     0.00    -117.15 -999.00 -117.15    0.00000     0.00 LHCP       1.38835e-06    88.65    0.00000e+00     0.00
  180.00     0.00    -400.23 -999.00 -400.23    0.00000     0.00 LHCP       9.74200e-21    88.65    0.00000e+00     0.00

 RUN TIME =   0
